"trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	textbox.started	textbox.stopped	key_resp_2.keys	key_resp_2.rt	key_resp_2.started	key_resp_2.stopped	block_type	learning_type	trial_type	image_path	x_image	trial	person.started	person.stopped	text.started	text.stopped	text_2.started	text_2.stopped	key_resp.keys	key_resp.rt	key_resp.started	key_resp.stopped	text_4.started	text_4.stopped	line.started	line.stopped	text_5.started	text_5.stopped	reward_a	reward_d	reward	image.started	image.stopped	text_3.started	text_3.stopped	line_2.started	line_2.stopped	text_6.started	text_6.stopped	session	exp_id	age	sex(M or F)	date	expName	psychopyVersion	frameRate"
"51	0	51	0							Social	SD	Observational	images/Observational_trial.png	-0.5	52	357.0808169	None	358.0896169	359.3440855	358.8283245	359.3274557	None		361.1076716	None	359.8381832	360.8435636	356.5970034	None	357.0808169	None	0.7	0.3	?	361.1270446	None	361.6088706	363.1236669	361.1270446	None	361.1270446	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"52	0	52	0							Social	SD	Observational	images/Observational_trial.png	-0.5	53	363.6260451	None	364.632811	365.8884228	365.3721115	365.8884228	None		367.63637	None	366.3750618	367.3867312	363.1408153	None	363.6260451	None	0.7	0.3	?	367.6409184	None	368.1358739	None	367.6409184	None	367.6409184	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"53	0	53	0							Social	SD	Observational	images/Observational_trial.png	-0.5	54	370.1348285	None	371.1353156	372.3844007	371.8827726	372.3844007	None		374.1476356	None	372.8812046	373.8812576	369.6510529	None	370.1348285	None	0.7	0.3	?	374.1729132	None	374.6469538	376.1666104	374.1729132	None	374.1729132	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"54	0	54	0							Social	SD	Observational	images/Observational_trial.png	-0.5	55	376.6960204	None	377.6936824	378.9590756	378.4466331	378.9590756	None		380.7099301	None	379.4424581	380.4566653	376.2003783	None	376.6960204	None	0.7	0.3	?	380.734757	None	381.207585	382.722341	380.734757	None	380.734757	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"55	0	55	0							Social	SD	Observational	images/Observational_trial.png	-0.5	56	383.2225819	None	384.2380735	385.5029373	384.9852579	385.4862542	None		387.251871	None	385.9858173	387.0016004	382.7406185	None	383.2225819	None	0.7	0.3	?	387.2611115	None	387.750892	389.2493466	387.2611115	None	387.2611115	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"56	0	56	0							Social	SD	Private	images/Private_trial.png	0.5	57	389.770369	None	390.7651178	392.0302637	391.5147575	392.0135913	a	2.484822531	392.0135913	None	394.5284507	None	389.2733454	None	389.770369	None	0.7	0.3	1	394.5603365	None	395.0445096	None	394.5603365	None	394.5603365	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"57	0	57	0							Social	SD	Private	images/Private_trial.png	0.5	58	397.0426619	None	398.0419184	399.3066617	398.7904618	399.2901975	a	4.079041913	399.2901975	None	403.389139	None	396.5592537	None	397.0426619	None	0.7	0.3	1	403.4153735	None	403.9027422	None	403.4153735	None	403.4153735	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"58	0	58	0							Social	SD	Observational	images/Observational_trial.png	-0.5	59	405.9202715	None	406.9216479	408.1850258	407.6819724	408.1850258	None		409.9469661	None	408.6820526	409.6973802	405.4240427	None	405.9202715	None	0.7	0.3	?	409.9784059	None	410.4464245	None	409.9784059	None	409.9784059	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"59	0	59	0							Social	SD	Private	images/Private_trial.png	0.5	60	412.4779809	None	413.4770809	414.7260091	414.2263062	414.7260091	a	0.910280762	414.7260091	None	415.6585883	None	411.9875931	None	412.4779809	None	0.7	0.3	1	415.6893391	None	416.1726276	None	415.6893391	None	415.6893391	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"60	0	60	0							Social	UD	Observational	images/Observational_trial.png	-0.5	61	418.1729729	None	419.171459	420.443603	419.9245026	420.443603	None		422.1854137	None	420.9278452	421.9359432	417.6878146	None	418.1729729	None	0.7	0.3	?	422.1978902	None	422.687638	None	422.1978902	None	422.1978902	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"61	0	61	0							Social	UD	Observational	images/Observational_trial.png	-0.5	62	424.6844123	None	425.6859214	426.9494732	426.4448324	426.9494732	None		428.6963806	None	427.4306395	428.4299339	424.2002144	None	424.6844123	None	0.7	0.3	?	428.7093095	None	429.1954009	None	428.7093095	None	428.7093095	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"62	0	62	0							Social	UD	Private	images/Private_trial.png	0.5	63	431.224993	None	432.2118975	433.4589626	432.9623961	433.4751759	a	0.528088077	433.4589626	None	434.0076661	None	430.7218155	None	431.224993	None	0.7	0.3	1	434.0245704	None	434.5100128	None	434.0245704	None	434.0245704	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
